#,Title,Difficulty,Type,Comments
225,Implement Stack using Queues,E,Structure,"To build stack with queue, everytime a new input is added, append the old queue to the end of the new input queue."
226,Invert Binary Tree,E,Graph,"Invert the tree in BFS order. If node is not None, switch left and right."
227,Basic Calculator II,M ,Math,"Initiate previous operator as '+', operate based on previous operator. Store all calculated numbers in a stack. "
228,Summary Ranges,E,Array,Update range starter when a break is encountered. Update res with range + previous to breaker. 
229,Majority Element II,M ,Array,"Refer to Boyer-Moore Majority Vote algorithm. Since we want numbers appear more than len//3 times, at most two numbers can be selected. O(1) space."
230,Kth Smallest Element in a BST,M,Graph,"Doing an inorder traversal with stack to find the smallest left most node, then count the number of node on right subtree until we find the kth smallest value."
231,Power of Two,E,Bits,Avoid n == 0 then check using (n&(n-1) == 0).
232,Implement Queue using Stacks,E,Structure,Runing to stacks. Input value goes into Push list. Pop function runs Peek first then pop from Pop list. Peek function moves items from Push list to Pop list using pop(). len == total len.
233,Number of Digit One,H,Math,Calculate occurance of 1 on every digit. Count number of 1s using prefix and postfix of the current digit.
234,Palindrome Linked List,E,LinkedList,Find the middle node using a twice faster pointer. Reverse the second half of the list using prev node. Compare from both head.
235,Lowest Common Ancestor of a Binary Search Tree,M,Graph,"Recursive approach. In a binary search tree, all left subtree is smaller, all right subtree is larger. If both nodes is on one side, recurse with that side as root. If two nodes takes two sides ot equal to current root, return current root."
236,Lowest Common Ancestor of a Binary Tree,M,Graph,Recursive approach. Recursively check if root == p or q. Move on to left and right subtree. Return non-empty result or root if both non-empty. 
237,Delete Node in a Linked List,M,LinkedList,"Instead of getting info of previous node, replace current node val with val of next node then skip the next node."
238,Product of Array Except Self,M,Array,"Perform a both side run with a res list recording the production of all left nums. When doing the backward, keep track of a running production of right nums. Product left value to right running value."
239,Sliding Window Maximum,H,Array,Monotonic Deque structure where elements are sorted in decreasing order. It is achieved by continously pop out last element that is smaller to the new element. A queue only keeping the largest number and its lower numbers.
240,Search a 2D Matrix II,M,Array,"Start searching from right top corner since all elements left to it is smaller, under it is larger. Then apply binary search. c - 1 if larger than target, r + 1 if smaller than target."
241,Different Ways to Add Parentheses,M,Math,"Use divide & conquer approach. When operator is encountered, recursively calculate results from both sides. Pass expressions to next recurse, return if is digit.   "
242,Valid Anagram,E,String,Build two dictories. Store frequency and key in dictories. Compare two dictories.
257,Binary Tree Paths,E,DFS,DFS recursively/ DFS + stack/ DFS + queue 
258,Add Digits,E,Math,"So for any number that isn't 0 and isn't divisible by 9, the root will always n % 9 for a given number n. Numbers divisible by 9 always have a digital root of 9"
260,Single Number III,M,Bits,XOR return 0 if same numbers. x & -x returns rightmost non-zero position. 
263,Ugly Number,E,Math,"Divide by 2,3,5 while dividable. Check whether arrive 1 as result. "
264,Ugly Number II,M,DP,"Using DP with three pointers. Everytime find the smallest ugly number which is multiplied by 2,3,5. Update the three indexes and then add the smallest of the three candidate ugly numbers. "
268,Missing Number,E,Math/Bits,"Find the missing number by minus the sum of the list from total sum of range(n+1). Or, using xor to cancel same numbers, leaving the odd number."
273,Integer to English Words,H,Recursion,"Using sub problems to solve the final problem, focus on edge cases. If there are no digit behind 0, leave no more marks, e.g. 20, 20000 (if n%1000)."
274,H-Index,M,Array,"Sort with counting sort. Create buckets for numbers of paper cited with the same number of times. Reversely sum the number of paper cited until >= range(n, -1, -1). "
275,H-Index II,M,Array,Using binary serach to find i where citations[i] >= len(citations) - i. Result is len(citations) - i. 
278,First Bad Version,E,Array,"Binary search. R as leftmost bad version, L as rightmost unknown version with all good version before it. "
279,Perfect Squares,M,DP,"Create a dp from 1 to n. Find the least num of sum needed for each perfect square idx below current num. min(dp[i], dp[i - j * j] + 1).  j represents all perfect square nums under i."
282,Expression Add Operators,H,DFS,"Backtracking with DFS. Keep track of cur_res, cur_op, prev_op, idx, path. Previous operand for minus and multiply function. Four operation: +, -, *, and add one digit to cur_op.  "
283,Move Zeroes,E,Array,Keep track of the rightmost non-zero idx. When encounters a non-zero num swap that num to that idx which pushes all zero to the end.
284,Peeking Iterator,M,Structure,"To peek next, keep pre-loading next value from iterator. "
287,Find the Duplicate Number,M,LinkedList,"Refer to #142. Consider the array as a linked list. Find where loop started, which is the repeated number."
289,Game of Life,M,Array,"Keep all living 1s, set died 1s to -1. Keep all dead 0s, set all live 0s to 2. Count -1 as 1 when doing neighbor check. Update the board after one walkthrough."
290,Word Pattern,E,Mapping,Refer to #205. Optimized by checking the len of set() of both lists. Only one dict needed.
292,Nim Game,E,Math/DP,Math: only loss when 4 remains. DP: or between reversed results of previous three result
295,Find Median from Data Stream,H,Heap,"Use two heap. Max heap for smaller half, min heap for larger half. Everytime new num goes into left heap and the top value goes into right heap. If size of right heap is larger, rebalance two heaps by pop top right heap into left heap. Keep the sign negative in left heap as it is a max heap. "
297,Serialize and Deserialize Binary Tree,H,Graph,"Serialize and Deserialize with BFS. Consider negative values by join the str with ',' then decode it with split(','). "
299,Bulls and Cows,M,Mapping,"Use heapmap to record apperances of digits. Do two for loop for Bulls and Cows separately, while removing num from heapmap for matched digits. // Count the number of Bulls. Cows = sum of (min of (count(i) in secret, count(i) in guess)) - # of Bulls, where i is every distinct digit in sercet. "
300,Longest Increasing Subsequence,M,Graph,"Use binary search tree to sort a increasing array. If new num is > arr[-1], size + 1. Else update the array. // Use bisect_left to find the idx that can be updated. "
301,Remove Invalid Parentheses,H,DFS,"Use two helper functions. One to check if str is valid (num of ( and ) cancel each other), one for DFS (do a recursion when l>0 or r>0 with their respect parentheses using s without that idx, new init loop point, l-1 or r-1)."
303,Range Sum Query - Immutable,E,DP,Make a list of sums. Left index to right index sum = sum[r] - sum[l] or sum[l / r] if on the edge. 
304,Range Sum Query 2D - Immutable,M,DP,Refer to #303. Do it as a graphing question counting the area of a sub-square. Use an extra row and col to avoid minus out of range.
306,Additive Number,M,DFS,Use a path list to record vaild number path. Avoid (break) number starting with '0'. Skip (continue) number that is not the sum of previous two nums from path. 
